content,score,preprocess
"Ni Mage Ga Ada Seru Sama Sekali commander op dikit di nerf , baru di buff op langsung di nerf ,THARZ,WAN WAN , Jhonson",1,nih mage tidak seru commander op dikit nerf buff op langsung nerf tharzwan wan jhonson
gak di kasih hero yang sama padahal mau menang Kon....,1,tidak hero menang kon
tak lemot lagi hhhh,5,lambat hhhh
parah masa mau menang di bikin ngelek Mulu tolong di perbaiki lagi sering ngelek,1,parah menang lag mulu tolong baik lag
p.bagus bangetttt!!!!!!,5,pbagus
"pemain nya pada ngecheat, developer sengaja nyewa pemain untuk nurunin bintang pelayer, mereka bersekongkol dan bisa mengintervensi game. busuuukkk semoga hancur kau game, game yg tidak sportif untuk pemain.",1,main ngecheat developer sengaja nyewa main nurunin bintang layer sekongkol intervensi busuuukkk moga hancur kau tidak sportif main
ini kenapa bahasanya ga kaya pas awal rilis. ganti bahasa ganti semua sampi ke suara,5,bahasa tidak rilis ganti bahasa ganti sampi suara
padahal baru grandmaster tapi musuh sudah kayak rank tinggi.terus padahal Hero udah bagus malah Hero nya gak ada damage,1,grandmaster tapi musuh rank tinggiterus hero bagus hero tidak damage
"Overall udah bagus, tapi entah kenapa kadang pas di tengah atau awal kadang tiba-tiba re-login dan agak ngeganggu.",4,overall bagus tapi kadang kadang tibatiba relogin ngeganggu
heyyyyy montooonnnnnnnnn kasihhh gw 10 sinergiii taiiiii gw mau nyobaaaaaaaaaaa,1,heyyyyy montooonnnnnnnnn kasihhh sinergiii taiiiii nyobaaaaaaaaaaa
kurang puas saat mencari hero yang sama,2,kurang puas cari hero
"tolonglah moonton waktunya di panjangin dikit pas udh late game, mau b3 malah waktu udh abis, kerasa cepet banget beda banget, kalo hoki mah gpp, udh roll an seret udh di roll di lvl nya, tetep ga keluar hero yg kita mau",1,tolong panjangin dikit late bintang habis rasa cepat beda untung mah apa roll seret roll lvl tidak hero
game nya asik bisa buat belajar srategi,5,asik ajar srategi
Game nya bagus banyak sinergi baru,5,bagus sinergi
"game nya jelek, stiap habis win pasti kalah 10 kali abis itu win lagi game kocak",1,jelek habis win kalah habis win kocak
"masa' beli go go pass gak dapat chess board, kemarin masih nyatu sama mobile legand dapat aja, rugi dong kita kalau kayak gini",3,beli pass tidak board kemarin nyatu mobile legand rugi
Gooooooooood,4,gooooooooood
tolong moonton kembalikan magic CHES yang kemaren 😔,1,tolong kembali ches kemarin
"game lag gak gerak sama sekali, pada hal sinyal aman buat main game lain yang lebih berat dari ini. devoloper cuma cari untung doang, game sampah",1,lag tidak gerak sinyal aman berat devoloper cari untung doang sampah
ok bett,5,ok bett
"udah ke sekian kali suka nge bug,Match juara 1 tapi ga masuk point,BUANG WAKTU, BUANG ENERGI ,BUANG ISI BATRE HP,HADEUHHHH",1,sekian suka nge bugmatch juara tapi tidak masuk pointbuang buang energi buang isi batre hphadeuhhhh
"Kembalikan meta kangkung,nggk seru nggk ada kangkung",5,kembali meta kangkungnggk seru kangkung
"The game is very relaxing, very suitable for me who plays casually",5,the is very relaxing very suitable for me who plays casually
"Ban Moskov hero haram, Nerf Moskov hero haram",1,ban moskov hero haram nerf moskov hero haram
sangat menyenangkan bagi player jomblo🤣🤣,5,senang player jomblo
abis update gabisa dipencet heronya asem kau,2,habis update pencet hero asem kau
bug akun tolong perbaiki akun ML saya belum pernah maen MCGG tapi pas mau dikaitkan malah udah terkait ga tau akun apa hadehh,2,bug akun tolong baik akun ml belum tapi kait kait tidak akun hadehh
tidak ada mode practice mode untuk mencoba comander dan hero lainnya. di haruskan adaptasi tanpa intruksi cara bermain sinergi dan combo. mohon adakan untuk semua orang agar di adakannya PRACTICE MODE!,1,tidak mode practice mode coba comander hero harus adaptasi intruksi main sinergi combo mohon adakan orang adakan practice mode
banyak pelayer egois,1,layer egois
ganti nama aj min moskov chess gogo,5,ganti nama min moskov gogo
"ok, singkat saja,game nya bngus,dan seruu,pahammm",5,ok singkat sajagame bngusdan seruupahammm
"waktu pas war tambahin lagi woy,",4,war tambah
"bagusan yg dulu, tapi gapapa daripada GK ada",5,bagus tapi gapapa tidak
"game payah, hp spek high wifi juga kenceng tapi di in game malah patah patah, kangen magic chess yang dulu sih👎",1,payah ponsel spek high wifi kencang tapi patah patah kangen
tolong dong untuk mengkaitkan akun nya di pulihin masa iya ngulang dari bot,1,tolong kait akun pulihin iya ngulang bot
comander seperti wanwan dengan Miya itu harus di nerf kesel kali aku mainyya hari2 ketemu cmnder hama trs,5,comander wanwan miya nerf kesel mainyya ketemu cmnder hama
game sampah jan di diwload🗿,5,sampah jangan diwload
game ini lebih baik dari pada ML,5,ml
"aku lebih suka ini dari pada yang lama,karna banyak pilihan kartu dan blessing,yang bilang lag itu mungkin karna kalian belum full dawnlod datanya atau karna jaringan kalian aja ya, selebihnya bagus game nya , tambahin sinergi yang lama juga biar mangkin asik 👍🏻",5,suka lamakarna pilih kartu blessingyang bilang lag belum full dawnlod data koneksi lebih bagus tambah sinergi biar mangkin asik
oy moonton tolong nerf si moskovnya tu gk ngotak,1,oy tolong nerf moskovnya tidak ngotak
ini gemnya seru,5,gemnya seru
"presentasi dapat hero dan kartu crystal sangat tidak ADIL, bahkan blessing pun harus reset 3-5 X!!!",1,presentasi hero kartu crystal tidak adil blessing reset
kok bisa Kalah mulu🙄👎,2,kalah mulu
"min update an mode magic crystal Rune di perbaiki kalo tetap gini saya kasih bintang 1 masa tiba tiba mati sendiri, darah ngurang sendiri terus mystic bereu ga mati mati, perbaiki ya min",1,min update mode crystal rune baik bintang mati darah ngurang mystic bereu tidak mati mati baik min
"game taik, sudah beberapa kali kehilangan bintang, gara"" menghubungkan ulang, dan gak bisa masuk, terpaksa afk, padahal sinyal bagus, tolonglah perbaiki",1,tahi hilang bintang gara hubung ulang tidak masuk paksa afk sinyal bagus tolong baik
"pada update 26 mei 2025, V.1.1.85.1742 terdapat masalah pada (KONEKSI), untuk MCGG yang dulu masih menyatu dengan game mobilagends tidak pernah terkendala (KONEKSI) dengan (SINYAL) seadanya, tapi mengapa sekarang sangat membutuhkan (SINYAL) yg sangat bangus untuk permainan yg nyaman, mohon untuk developer bisa memperbaiki masalah pada (KONEKSI/SERVER) MCGG saat ini, mohon peebaikian nya terimakasih.",1,update mei v koneksi satu mobilagends tidak kendala koneksi sinyal ada tapi butuh sinyal bangus main nyaman mohon developer baik koneksiserver mohon peebaikian terimakasih
"gama gaje , lagi enak' main malah ga mau gerak katanya jaringan tapi buka ml jalan . kalo ga siap launcing game jangan dipaksa , JARINGAN BAGUS MALAH GA BISA MAIN TOLOL !!!!",1,gama enak tidak gerak koneksi tapi buka ml jalan tidak launcing jangan paksa koneksi bagus tidak tolol
ngelag mulu bikin males maen,1,lag mulu malas
bug gak bisa login,1,bug tidak login
"anj yang bener lah t41, game rusak",1,anjing t rusak
"sistem ban comander nya jangan kek gitu lah, masa yg sedikit di ban tapi yang banyak gk ke ban.",3,sistem ban comander jangan sedikit ban tapi tidak ban
sayang megic chess yang dulu di hapus ku kira meskipun ada nya megic ches yang ini ada tapi yang lama ga di hapus juga harus nya kurang seru kalo magic ches sekrang hmmmm...,2,sayang megic hapus megic ches tapi tidak hapus kurang seru ches hmmmm
"Males mau komen apa banyak bgt rasa kecewa terhadap MAGIC CHESS : GO GO. Ternyata setelah di pisah dri MLBB malah lebih hancur nih game. keliatan bgt settingannya, Win 1x kemudian loststreak 4x bahkan bisa lebih. Roll Hero di lvl tinggi pun tidak akan muncul Hero yang sesuai dgn synergi yg di gunakan. Sangat aneh dengan refresh shop,, presentasi kemunculan Hero tinggi tapi tak sesuai dengan kemunculan hero. SUKA - SUKA LU DAH MOONTON.",1,malas komen kecewa pisah mlbb hancur nih settingannya win loststreak roll hero lvl tidak muncul hero sesuai synergi aneh refresh shop presentasi muncul hero tapi sesuai muncul hero suka suka lu
tolong kok Gak bisa login ya,3,tolong tidak login
game terbaik yey,5,baik yey
game t4ik.,1,tik
Disaran oleh Fadil bayangan dan disuruh make sinergi doombringer dan amberlord,5,sar fadil bayang suruh pakai sinergi doombringer amberlord
"update'an skrg bikin bingung,sinergi favorite sy dihapuskan...!! sdh males maen",1,updatean bingungsinergi favorite hapus malas
Game yang seru sekali. udah lama tak hapus. begitu main lagi banyak banget perubahan. tapi semakin seru,5,seru hapus ubah tapi seru
game taik mending gak usah banyak² sinergi kalo nyarinya susah begoo enak yang kemaren 8/8 ini mainny kaya otrg tolol,1,tahi mending tidak banyak sinergi nyarinya susah begoo enak kemarin mainny otrg tolol
nerf wanwan sihh biar mikir mainnya ga gampang amat,3,nerf wanwan biar mikir main tidak gampang
min ini saya udh lama baru instal MC GG di hp baru tapi knapa sumberdaya nya hilang semua gmna ini,3,min install ponsel tapi knapa sumberdaya hilang
MAKIN KESINI MAKIN BUSUK. MATCMAKING TIDAK ADIL. DAN HERO SISTEM LOSE STRWAK PUN BERLAKU DI SINI. BNGST,1,kesini busuk matcmaking tidak adil hero sistem lose strwak laku bngst
geme nya sangat tidak adil dan tidak masuk akal itu sinergi emberlord ga ngotak nton nton,1,tidak adil tidak masuk akal sinergi emberlord tidak ngotak nton nton
payah ga bisa di mainin,1,payah tidak mainin
"perbaiki sistem rollnya masak sudah ap ke level 7 Hero oddet gak muncul muncul,padahal di level 7 rasio keluarnya 40% gak muncul muncul monton.kayak di tentuin siapa yang menang siapa yang kalah",3,baik sistem rollnya masak level hero oddet tidak muncul munculpadahal level rasio keluar tidak muncul muncul montonkayak tentuin menang kalah
game settingan ajg aneh roll ampas bgt,1,settingan ajg aneh roll ampas
"MOONTON TOLOL, PAS GACHA HERO NGGAK PERNAH DAPET YANG BAGUS",1,tolol gacha hero bagus
Ternyata kurang bagus,2,kurang bagus
"Bagus sih, cuma hero yanf sudah dibeli pakai diamond di magic checs tidak ada niat moonton untuk dikembalikan.",3,bagus hero yanf beli pakai diamond checs tidak niat kembali
loh sekrng bukan dri montoon yaa?,1,bukan montoon
"ngeleg terus padahal sinyal lancar, saya coba pakek wifi ,, wifi nya juga bagus sama aja masalah jaringan terus ,, mentok 1 game doang lancar main 2 game dan seterus nya udah ngeleg terus",1,lag sinyal lancar coba pakai wifi wifi bagus koneksi mentok doang lancar terus lag
tolong jaringannya segera diperbaiki!,1,tolong jaring baik
lose treak tai,1,lose treak tahi
gw download cm buat coba skin njir😹😹😹,5,download coba skin anjir
game tidak ramah,1,tidak ramah
saya tidak dapat eru,1,tidak eru
"gogo card adalah blunder terbesar moonton di magic chess karena terlalu banyak, kedua pemilihan magic crystalnya dihilangkan, ketiga naik level ranknya semakin lama, keempat sinerginya semakin susah, kelima hero yg dicari jarang muncul. moonton harusnya berpikir, game adalah hiburan untuk otak, bukan untuk nyiksa otak.",1,gogo card blunder besar pilih crystalnya hilang tiga level ranknya empat sinergi susah hero cari jarang muncul pikir hibur otak bukan nyiksa otak
"ini sistem line up benerin lah... masa mau up Hero aja cari heronya susah banget, musuh pada gampang dapet Hero sampe mid game udah ada yang B3, padahal cuma gua yang make Cristal tapi selalu di ghosting buat up level hero",1,sistem line up benerin up hero cari hero susah musuh gampang hero mid bintang pakai cristal tapi ghosting up level hero
"lag parah, main mlbb lancar jaya main ni game ngelag ngelag. gimana mau menang rol dan mau beli hero aja ga bisa bisa,. mau ngilangin stres malah tambah stresss",1,lag parah mlbb lancar jaya nih lag lag menang rol beli hero tidak ngilangin stres stresss
nak terai dulu,3,nak rai
kukasih bintang 4 karena ga bisa masuk Beta🙏🙏,4,kasih bintang tidak masuk beta
ggak bisa temen ggak bagus,1,ggak teman ggak bagus
adain live streaming kaya MLBB dong. bisa ga ya dibikin kaya tribun trus bisa kasih emoticon. lucu banget skarang comander bisa tuing2 jalan2 di board. jd ga ngebosenin pas war.,4,ada live streaming mlbb tidak bikin tribun emoticon lucu comander tuing jalan board tidak ngebosenin war
"game cacat, damage sinergi terlalu jauh. 6 sinergi dengan hero mahal kalah sama 4 sinergi dengan hero murah. cacat memang ini game",1,cacat damage sinergi sinergi hero mahal kalah sinergi hero murah cacat
"aku cuma ingin ngasih saran untuk setiap event di mcgg ,di setiap sepinan dimurahin jadi 200 DM 10 kali spin ,ini GK se 10x spin 500 DM juga miskin juga orang kalau mahal mahal ,udah DM nya mahal ,apalagi spinannya",3,asih saran event pin dimurahin dm spin tidak spin dm miskin orang mahal mahal dm mahal spinannya
kasih mode practis lah,1,mode practis
"gamenya udah bagus dari segi gameplay, kombinasi(Hero, sinergi) itu udah bagus tapi entah kenapa saya merasa leg padahal kalau di cek jaringannya bagus² aja tolong di lihat apa servernya ngeleg atau bagaimana sama 10 sinerginya mungkin bisa di beri keringanan lah soalnya susah banget buat dapat 3 biji sinergi untuk melengkapi ya minimal di tambah 1 Hero untuk setiap sinergi yang bisa di jadiin 10 sinergi agar kalau mau cari biji sinergi cuman butuh dua aja terimakasih semangat buat ngembaninnya",5,bagus segi gameplay kombinasihero sinergi bagus tapi leg cek jaring bagus tolong lihat servernya lag sinergi ringan susah biji sinergi lengkap minimal hero sinergi jadi sinergi cari biji sinergi cuman butuh terimakasih semangat ngembaninnya
sinya kadang tidak stabil.saat main,3,sinya kadang tidak stabilsaat
"gem hama, apasi ga pernah di kasi Hero bagus, tolong di perbaiki ya muntun, aku kesal sekali terimakasih muntun ganteng",2,hama apas tidak hero bagus tolong baik muntun kesal terimakasih muntun ganteng
"lebih buruk daripada magic chess masih barang MLBB, sering banget lag",1,buruk barang mlbb lag
gaem yang berat,3,gaem berat
"Setelah update k season 2, fitur SHOP di dalam macth malah gk jelas !!! susah kali dapat hero yg di pengen 👎🏻👎🏻",3,update season fitur shop macth tidak susah hero
"semakin gak jelas... cari 10 sinergi sulit minta ampun, equipment yg membingungkan, serta Hero yg sulit dibedakan. tolong perbaiki lagi",1,tidak cari sinergi sulit ampun equipment bingung hero sulit beda tolong baik
"itu demeg moskop yakin GK di benerin ,terlalu op GK masuk akal woy ,GK logis ,benerin lah ngerusak ajah",1,deg moskop tidak benerin op tidak masuk akal tidak logis benerin ngerusak
tolong di perbaiki agar tidak ngelag² dan data ny biar bisa ga di download semua,1,tolong baik tidak ngelag data biar tidak download
"gak seru. di epik bukan lawan yg sulit tapi sering. di jadiin bot. gara"" koin habis buat beli riset toko. dan koin habis hero gak dapet. satupun yg di butuhin. jd menang kalah mulu. klo pas Los.. kalo pas menang kartu pun bagus terus.",1,tidak seru epik bukan lawan sulit tapi jadi bot gara koin habis beli riset toko koin habis hero tidak satu butuhin menang kalah mulu los menang kartu bagus
game nya seru dan banyak sinergi op,5,seru sinergi op
"hari"" lose streak, GK ngerti sama sinergi baru ngtd",1,lose streak tidak erti sinergi ngtd
seru dan suka karna game nya dari ML,5,seru suka ml
udj bagus,5,udj bagus
klo bgus gw lanjut klo jelek unfol,5,bagus jelek unfol
"Tolong dong moonton perbaiki error pas ngeroll. ini game kalo kita para player gak bisa roll, terus sebenarnya kita main mc gogo buat apa, yg lain udah banyak hero kita bahkan gak bisa roll. Cuma dapat bagian yg udah di baris hero doang, moonton come on do it something. Ya ampunnnn terlalu parah error kali ini, udah gak bisa di maklumin",1,tolong baik error ngeroll player tidak roll gogo hero tidak roll baris hero doang come on do something ampun parah error tidak maklumin
game pekok bosok,1,kok bosok
sistem kaya judol menang sekali seternya loss.. perolehan hero tidak seimbang ... gk layak di mainkan,1,sistem judol menang seter loss oleh hero tidak imbang tidak layak main
saya tidak dapat hero yang dibutuhkan selama 5 match berturut turut,1,tidak hero butuh match
bagus dan berwarna,5,bagus warna
"sangat bagus dan santai, enak dimainkan sambil denger musik + cemilan",5,bagus santai enak main dengar musik cemilan
"Sedikit saran untuk berikan opsi pengunduhan resource agar lebih diperluas opsi nya, agar hp gua gk ngeframe. Gua cuma pengen main, tapi resource yang harus didownload terlalu besar buat hp gua, gak enak main patah².",3,sedikit saran opsi unduh resource luas opsi ponsel tidak ngeframe tapi resource didownload ponsel tidak enak patah
Mantap muntun,5,mantap muntun
update kaga jelas Hero kuat cuman moskov aneh.,1,update kagak hero kuat cuman moskov aneh
tapi lebih seru mcgg yang dulu kalo yang dulu seru banget sekarang mcgg nggak seru karena saya player old,5,tapi seru seru seru player old
Sumpah ngelag banget padahal jaringan ku bagus loh . tapi kok ngelag parah ya . tolong dong dev montoon perbaikin gmna mau main . gold masih banyak udah habis waktu duluan . pasang item aja bisa sampai 10 detik nyebelin banget anjir,1,sumpah lag koneksi bagus tapi lag parah tolong dev montoon baik gold habis duluan pasang item detik sebal anjir
Montoon baby,1,montoon baby
gemnya bagus dan menarik,5,gemnya bagus tarik
"dari game nya udh bagus tapi pas mau mnang tiba"" keluar sendiri trus ulang lagi kirain udh menang pas di cek bintang rank nya tidak naik tolong lah perbaiki developer itu saja keluhan saya🙏",3,bagus tapi mnang ulang menang cek bintang rank tidak tolong baik developer keluh
game nya seru penuh strategi tp mohon di optimalkan kembali,5,seru penuh strategi tapi mohon optimal
ya bagus aja aku suka dah gw cuma gabut,5,bagus suka bosan
"tiba tiba lag, freeze. mengakibatkan pengalaman bermain kurang memuaskan. entah itu cheat atau dari sistemnya. padahal buat streaming dan download lancar. tolong diperbaiki bug atau player curang ini.",1,lag freeze akibat alam main kurang puas cheat sistem streaming download lancar tolong baik bug player curang
gatau kenapa yang publish bukan moonton tapi gpp,5,publish bukan tapi apa
HAPUS COMANDER JHONSON GA JELAS,5,hapus comander jhonson tidak
Susah buat naik bintang...... Ketemu musuh damage nya over power dan deffend musuh terlalu kuat.... Sehingga saya susah untuk menang....... gak ada perubahan setiap saya melapor tidak di tanggapi oleh pihak monnton ......beberapa kali main selalu di rank legend IX nanti naik lagi di legend VIII..... naik turun terus...... terus klo di legend VIII itu susah payah untuk menang selalu juara 8 terus ......dan akun saya kayak dirancang tetap harus di legend VIII ........lama lama benci juga main MCGG,1,susah bintang ketemu musuh damage over power deffend musuh kuat susah menang tidak ubah lapor tidak tanggap monnton rank legend ix legend viii turun legend viii susah payah menang juara akun rancang legend viii benci
"sering banget ngalamin pas di pertengahan game tiba-tiba lost jaringan dan nge stak sampe lama, pas relog gabisa login lagi dan nge stak di loading doang, yg tadinya udah mau menang malah gabisa nyambung ulang ke game ,kesel banget soalnya gak sekali dua kali kaya gini, mohon di perbaiki lagi bug semacam ini🙏",2,ngalamin tengah tibatiba lost koneksi nge stak relog login nge stak loading doang menang sambung ulang kesel tidak mohon baik bug
"g ajelas banget, tiba tiba lag, udah ganti jaringan ke data masih aja lag, ga jelas game nya",1,ajelas lag ganti koneksi data lag tidak
main dipertengahan tiba tiba loading lama padahal sinyal bagus youtube tiktok lancar dan gak sekali aja udah 5 kali kayak gini gatau apa ada player yang cheat atau gimana tolong perbaiki ya,1,tengah loading sinyal bagus youtube tiktok lancar tidak player cheat tolong baik
game anjeng sinyal nge lag Mulu,1,anjeng sinyal nge lag mulu
"Game ini sangat bagus sekali, tapi tolong mode practice di Adain lh buat semua player jangan cuma orang orang tertentu aja 🙏🙏🙏",5,bagus tapi tolong mode practice ada player jangan orang orang
game yang menarik tapi lebih suka yang dulu karena gak membuat bingung,5,tarik tapi suka tidak bingung
"moonton moonton ga di ml ga di sini, masalah tetap sama, perbaiki dlu masalah jaringan mu itu, baru kau bikin lah itu skin skin",2,tidak ml tidak baik koneksi mu kau skin skin
"saya berikan dulu 4 bintang, ini magic chess saya kenapa ya tidak bisa 60 fps padahal HP saya infinix note 40",4,bintang tidak fps ponsel infinix note
"banyak bug,nerf pada commander yang berlebihan game rusak",1,bugnerf commander rusak
produk montoon sukses bikin emosi semua...,1,produk montoon sukses emosi
gem nya bagus. banget tapi ada 1 kendala. yang gw ngga suka. ya itu bug jaringan nya tolong di benerin. mau di lobi dan di gempley nya. tolong ya,5,bagus tapi kendala suka bug koneksi tolong benerin lobi gempley tolong
"Gamenya bagus aja sih,tapi pas mulai ngelawan musuh itu malah ngelag. Jadi mohon diperbaiki lagi soalnya masih ngelag ngelag.",4,bagus sihtapi ngelawan musuh lag mohon baik lag lag
server tidak memadai. seringkali sinyal merah mendadak,1,server tidak pada seringkali sinyal merah dadak
"gak,seru,",1,gakseru
"makan tu bintang 1, banyak citer",1,makan bintang citer
game begini doang ngeleg PING nya benerin dikit² naik gk di playstore gk di get app sama aja padahal WiFi kenceng,1,doang lag ping benerin dikit tidak playstore tidak get app wifi kencang
"terlalu bnyk ngedownload , keseringan kali ngedownload nya makin parah sekarang game ini",1,ngedownload sering ngedownload parah
bg kenapa gk semua hero aja bg nanti aku kasih bintang 🌟 5plis semoga dibaca,4,tidak hero bintang plis moga baca
kenapa harus 500 token lebih harus ny 200 token aja monton,1,token token monton
bagus yg di ml asli daripada yg ini,1,bagus ml asli
game gj main mytc aja udh kek main di glory susah amat nyari hero b3 pdhl level udh tinggi gajelas moonton hama,1,gj mytc glory susah cari hero bintang level hama
mode magic rune nya banyak bug,4,mode rune bug
kembalikan magic Ches yang dulu,1,kembali ches
seru tapi gw lebih suka mc di ml tapi karena nanti mb nya kebesaran jadi lebih baik di pisah,4,seru tapi suka ml tapi mbak besar pisah
"sorry tapi akhir-akhir ini banyak banget bug, tolong bug nya bnerin dlu",1,sorry tapi akhirakhir bug tolong bug bnerin
game nya seru abisszz,5,seru abisszz
"padahal data di dalam game sudah saya download semua, giliran di update harus download data lagi dari 0",1,data download gilir update download data
game ini sangat bagus dan tidak membuat setres• cuman ada masalah iyang tergangu munkin akan di perbaiki olehh monton• dan ada banyak orang iyang bot juga• tapi iyang tergangu adalah jaringan nyaa saja•dan itu saja sekian dan terimakasihh🙏🙏•,5,bagus tidak stres cuman iyang tergangu munkin baik olehh monton orang iyang bot tapi iyang tergangu koneksi sajadan sekian terimakasihh
majik ces go blok,5,majik ces blok
bang moonton ini bisa offline apa tidak kalo bisa offline aku download,5,offline tidak offline download
gamenya burik ngeleg2 dan hampir membuat hp ku rusak,1,burik lag ponsel rusak
"sinyal ok,,data ok,,tapi masih menghubungkan ulang 🤣🤣",2,sinyal okdata oktapi hubung ulang
developer tolong buatkan mode offline 😁 padahal ini game bisa lawan komputer tapi kok gak bisa main offline ya,4,developer tolong buat mode offline lawan komputer tapi tidak offline
menurut gw nih ya lebih bagus sekarang dari yang dulu karna lebih banyak hero gitu jadi kalo bisa ditambahin lagi ya mas monton.moga di baca,3,nih bagus hero ditambahin mas montonmoga baca
bagus sih cuman lag diki aja hehe semoga sehat selalu yan moonton,5,bagus cuman lag dik hehe moga sehat yan
Lebih bagus jika dikasih Poin sistem koleksi sesuai harga chessboard/skin commander seperti di mlbb,4,bagus kasih poin sistem koleksi sesuai harga chessboardskin commander mlbb
Sya sgnt sukak permainan ini,5,sgnt suka main
"UNINSTAL DULU, KEBANYAKAN SINERGI.. SEMAKIN GAK MASUK AKAL. KEMBALIKAN GAMEPLAY YANG DULU. GAME RUSAK",1,uninstal banyak sinergi tidak masuk akal kembali gameplay rusak
"sampah, gk pernah hoki",1,sampah tidak untung
setelah upgrade apk jadi ndak jelassssss,1,upgrade aplikasi tidak jelassssss
"MAKIN LAMA MAKIN BURUK SAJA INI GAME !!! SERASA MEMBOSANKAN, BANYAK FITUR NAMUN TIDAK PERNAH SESUAI FITUR pakai rekomendasi selalu tidak keluar heronya !!! harusnya tidak ada fitur rekomendasi line up jika sinergi dan hero yg direkomendasikan saat dipakai tidak pernah keluar, hari ini saya sudah 6x mencoba pakai rekomendasi namun selalu tidak keluar build dan hero yg direkomendasikan, HANABI B3 bisa kalah sama tarz b2 tidak masuk akal padahal hanabi item full",1,buruk serasa bosan fitur tidak sesuai fitur pakai rekomendasi tidak hero tidak fitur rekomendasi line up sinergi hero rekomendasi pakai tidak coba pakai rekomendasi tidak build hero rekomendasi hanabi bintang kalah tarz bintang tidak masuk akal hanabi item full
rolingan tidak bagus,1,rolingan tidak bagus
tolong pengbuat mcgg tolong di buat kalau jaringan jelek knp gak bisa nybung ulag tolong di buat lah gak bisa main aku kalau janrigan tiba tiba janringan jelek tuh harus bisa nyabung ulang knp gak bisa nyabung ulang,4,tolong buat tolong koneksi jelek tidak nybung ulag tolong tidak janrigan janringan jelek tuh nyabung ulang tidak nyabung ulang
tokong untuk waktu jika di babak akhir di perpanjang,1,tokong babak panjang
dapat musuh jago di epic musuh nya ju ga cit,1,musuh jago epic musuh ju tidak cit
bot nya terlalu susah tololll,1,bot susah tololll
game terlaris nih,5,laris nih
dari tadi download nya buanget sampe tiga kali ngulang,1,download ngulang
"fitur semuanya udah bagus, yg saya kesalnya adalah di saat mulai main di mana hero yg murah dapatnya dr level 1 sampai level 9 belum naik² bintangnya ke bintang 3, penuhin slot aja padahal mainnya sudah gunakan equipmen yg direkomendasikan. montoon ga adil dalam hal ini, terlalu nampak bohong Algoritmanya.",1,fitur bagus kesal hero murah dapat level level belum naik bintang bintang penuhin slot main equipmen rekomendasi montoon tidak adil tampak bohong algoritmanya
update nya tidak bagus,3,update tidak bagus
"kenapaaa apk nya ngestuck ya ???? aneh banget, udh di uninstal sama data drubah2 ttp gabisaaaa 😑",2,kenapaaa aplikasi ngestuck aneh uninstal data drubah gabisaaaa
pelit ton monton,1,pelit ton monton
"kalau dari segi tampilan,lebih suka yg pertama, untuk yg sekarang untuk sy pribadi terlihat seram",1,segi tampilanlebih suka pribadi seram
jangan main kebanyakan bug,1,jangan banyak bug
min tolong kembalikan mode praktik min,1,min tolong kembali mode praktik min
"Fitur practice mode di MC diratakan semua player agar semua bisa adaptasi di setiap update, bukan cuma KOL yg bisa dapat practice",3,fitur practice mode rata player adaptasi update bukan kol practice
ku beri 1 bintang karena gak dapet Hero yg bagus di kasih nya yg jelek jelek,1,bintang tidak hero bagus jelek jelek
"untuk pemberian bintang di rank jika kalah di bawah 4 , pengurangan bintang sangat tidak adil",3,beri bintang rank kalah kurang bintang tidak adil
"gila bgt sih di season 2 , gold seret .. bikin sinergi 6 biji susah bgt , skalinya bisa lengkap biar rata2 bintang 2 ehh malah kaga nongol2 heronya padahal synergi ga ada lagi yg pake , sedangkan lawan lancar amat bintang 3 , ya masa warisan mlbb berupa dark sistem di bawa ke magic chess",3,gila season gold seret sinergi biji susah skalinya lengkap biar bintang eh kagak nongol hero synergi tidak lawan lancar bintang waris mlbb dark sistem bawa
"bugnya ga kira2,, setiap main bug, sedikit sedikit bug bikin orang bosen uninstall",3,bugnya tidak bug sedikit sedikit bug orang bosan uninstall
Tolong hero Alpha di nerf,3,tolong hero alpha nerf
game nya bagus tapi ngebosenin naik rank nya lama,5,bagus tapi ngebosenin rank
lebih baik Hero biasa aj gksah pkai Hero skin biar gmpang dpaham..KLO boleh jngan magices aj ksih permainan lain ugk biar GK bosennn🙏🙏,3,hero gksah pakai hero skin biar gmpang dpahamklo jangan magices main ugk biar tidak bosennn
terlalu banyak sinergy jadi main kurang menarik,3,sinergy kurang tarik
tolong kasih fitur skip tutorial,1,tolong fitur skip tutorial
sehabis di updet ganti seasoan malah kek kentut buffreng parah gak jelas,1,habis updet ganti aso kentut buffreng parah tidak
"game hoki hokian ngentt, mau main 10 sinergi aja pasti krng 1 puqi",1,untung hoki ngentt sinergi kurang puqi
skin zilong elit gua mana njir gua beli pas di gabung ml pindah malah gak da,1,skin zilong elit anjir beli gabung ml pindah tidak
update jangan fokus ke Hero atau game play lu harus ingat unduhan nya itu gak bisa di pause kan habis nih kuota gara gara hanya unduh semua dari conten magic chess kalau bisa di aktifkan lah fitut pause nya banyak nih korban hotspot habis datanya,5,update jangan fokus hero play lu unduh tidak pause habis nih kuota gara gara unduh conten aktif fitut pause nih korban hotspot habis data
GAME HOKI2an..... GK BEDA JAUH AMA SLOT INI.....,1,hoki tidak beda slot
udah up ke level 9 pengen dapet moskov aja susah game apaan udah dicari di 2 pat box sambil ngroll malah gaa dapet aneh lu niat ngasih gaa,2,up level moskov susah cari pat box ngroll aneh lu niat asih
