preprocess,kata_kunci,score,predicted_aspect,details
hapus komender campur tidak susah susah komender ikut tidak,"['ikut', 'komender', 'campur', 'tidak', 'susah', 'hapus']","{'effectiveness': 0, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [], 'satisfaction': [('ikut', 'kuat', 85.71428571428572), ('susah', 'susah', 100.0), ('hapus', 'puas', 85.71428571428572)]}"
jangan lupa hidup nyata mu,"['nyata', 'hidup', 'jangan', 'mu', 'lupa']","{'effectiveness': 1.8, 'satisfaction': 3.57}",satisfaction,"{'effectiveness': [('jangan', 'dukungan', 80.0), ('mu', 'mulus', 100.0)], 'satisfaction': [('nyata', 'nyaman', 80.0), ('jangan', 'kesenangan', 90.9090909090909), ('mu', 'mudah', 100.0), ('lupa', 'luang', 85.71428571428572)]}"
ganggu iklan bangkai,"['iklan', 'ganggu', 'bangkai']","{'effectiveness': 0.89, 'satisfaction': 1.89}",satisfaction,"{'effectiveness': [('iklan', 'menyelesaikan', 88.88888888888889)], 'satisfaction': [('iklan', 'tampilan', 88.88888888888889), ('ganggu', 'ganggu', 100.0)]}"
khusus orang smart,"['smart', 'khusus', 'orang']","{'effectiveness': 0, 'satisfaction': 1.78}",satisfaction,"{'effectiveness': [], 'satisfaction': [('smart', 'samar', 88.88888888888889), ('orang', 'curang', 88.88888888888889)]}"
patch blesingnya kurang bagus tidak bagus blesing,"['patch', 'blesingnya', 'blesing', 'kurang', 'tidak', 'bagus']","{'effectiveness': 0, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [], 'satisfaction': [('blesing', 'bising', 80.0), ('kurang', 'curang', 90.9090909090909), ('bagus', 'bagus', 100.0)]}"
okok,['okok'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
sistem campur skill tidak guna susah menang anjir,"['anjir', 'susah', 'skill', 'campur', 'sistem', 'guna', 'menang', 'tidak']","{'effectiveness': 0, 'satisfaction': 2.91}",satisfaction,"{'effectiveness': [], 'satisfaction': [('susah', 'susah', 100.0), ('guna', 'kegunaan', 100.0), ('menang', 'tenang', 90.9090909090909)]}"
cacat nge frezee hubung unggul,"['hubung', 'cacat', 'frezee', 'nge', 'unggul']","{'effectiveness': 1.0, 'satisfaction': 1.6}",satisfaction,"{'effectiveness': [('nge', 'pengendalian', 100.0)], 'satisfaction': [('nge', 'tenang', 80.0), ('unggul', 'ganggu', 80.0)]}"
grafik monton,"['grafik', 'monton']","{'effectiveness': 0, 'satisfaction': 0.83}",satisfaction,"{'effectiveness': [], 'satisfaction': [('monton', 'monoton', 83.33333333333334)]}"
menghiburdan luang nyantai,"['menghiburdan', 'nyantai', 'luang']","{'effectiveness': 0, 'satisfaction': 2.91}",satisfaction,"{'effectiveness': [], 'satisfaction': [('menghiburdan', 'menghibur', 100.0), ('nyantai', 'santai', 90.9090909090909), ('luang', 'luang', 100.0)]}"
bilang tidak bagus itudiannya bot tidak tapi salah,"['salah', 'tidak', 'tapi', 'bot', 'bilang', 'itudiannya', 'bagus']","{'effectiveness': 1.8, 'satisfaction': 3.55}",satisfaction,"{'effectiveness': [('salah', 'kesalahan', 100.0), ('bot', 'lemot', 80.0)], 'satisfaction': [('tapi', 'mantap', 85.71428571428572), ('bot', 'bonus', 80.0), ('bilang', 'luang', 88.88888888888889), ('bagus', 'bagus', 100.0)]}"
bagus fokus tri rank mode,"['rank', 'mode', 'fokus', 'tri', 'bagus']","{'effectiveness': 0.86, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [('rank', 'kebenaran', 85.71428571428572)], 'satisfaction': [('rank', 'rancu', 85.71428571428572), ('tri', 'penalti', 80.0), ('bagus', 'bagus', 100.0)]}"
monnton pekokk tidak asih hero sinergi pelungggg,"['pelungggg', 'monnton', 'pekokk', 'hero', 'sinergi', 'asih', 'tidak']","{'effectiveness': 1.71, 'satisfaction': 2.51}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('asih', 'akurasi', 85.71428571428572)], 'satisfaction': [('pelungggg', 'luang', 80.0), ('monnton', 'monoton', 85.71428571428572), ('asih', 'motivasi', 85.71428571428572)]}"
rusak update sinergy tidak imbang hero moskov damagenya tidak normal banding hero harga coin moskov star damagenya ngalahin star tolong update hero masuk akal damagenya,"['damagenya', 'moskov', 'hero', 'star', 'update', 'rusak', 'sinergy', 'imbang', 'banding', 'normal']","{'effectiveness': 3.71, 'satisfaction': 4.4}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('star', 'target', 85.71428571428572), ('rusak', 'rusak', 100.0), ('normal', 'normal', 100.0)], 'satisfaction': [('damagenya', 'damai', 88.88888888888889), ('star', 'stres', 85.71428571428572), ('rusak', 'frustasi', 80.0), ('imbang', 'bimbang', 100.0), ('normal', 'malu', 85.71428571428572)]}"
mending gabung ml unnistal,"['unnistal', 'mending', 'ml', 'gabung']","{'effectiveness': 0.8, 'satisfaction': 1.81}",satisfaction,"{'effectiveness': [('unnistal', 'stabil', 80.0)], 'satisfaction': [('mending', 'meningkatkan', 92.3076923076923), ('gabung', 'gabut', 88.88888888888889)]}"
enak cuman susah untung,"['untung', 'susah', 'enak', 'cuman']","{'effectiveness': 0, 'satisfaction': 1.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('susah', 'susah', 100.0), ('cuman', 'hukuman', 88.88888888888889)]}"
sip ok,"['sip', 'ok']","{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('sip', 'akurasi', 80.0)], 'satisfaction': [('sip', 'fungsi', 80.0)]}"
tolong battle poin mlbb opsi report rekan tim afk mode tag team,"['tim', 'tag', 'afk', 'team', 'battle', 'mlbb', 'rekan', 'opsi', 'poin', 'report']","{'effectiveness': 2.6, 'satisfaction': 3.46}",satisfaction,"{'effectiveness': [('tag', 'target', 80.0), ('afk', 'akurasi', 80.0), ('opsi', 'opsi', 100.0)], 'satisfaction': [('tim', 'timpang', 100.0), ('tag', 'tampilan', 80.0), ('afk', 'memihak', 80.0), ('team', 'tampilan', 85.71428571428572)]}"
senang suka bagus,"['senang', 'bagus', 'suka']","{'effectiveness': 0, 'satisfaction': 3.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('senang', 'kesenangan', 100.0), ('bagus', 'bagus', 100.0), ('suka', 'suka', 100.0)]}"
tolong belum beli card pecuilar merchant tapi hilang kocak pakai apaansi,"['card', 'merchant', 'beli', 'pakai', 'belum', 'kocak', 'apaansi', 'hilang', 'tolong', 'tapi']","{'effectiveness': 2.69, 'satisfaction': 1.75}",effectiveness,"{'effectiveness': [('card', 'lancar', 85.71428571428572), ('apaansi', 'capaian', 83.33333333333334), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('hilang', 'luang', 88.88888888888889), ('tapi', 'mantap', 85.71428571428572)]}"
baik lebih dunia,"['dunia', 'lebih', 'baik']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('lebih', 'letih', 80.0), ('baik', 'baik', 100.0)]}"
tollollllll tidak dowload stres longo ml pppkkkkk,"['tollollllll', 'stres', 'pppkkkkk', 'ml', 'longo', 'dowload', 'tidak']","{'effectiveness': 0.8, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('longo', 'pertolongan', 80.0)], 'satisfaction': [('stres', 'stres', 100.0)]}"
seru isi luang,"['luang', 'isi', 'seru']","{'effectiveness': 0.8, 'satisfaction': 3.0}",satisfaction,"{'effectiveness': [('isi', 'akurasi', 80.0)], 'satisfaction': [('luang', 'luang', 100.0), ('isi', 'bising', 100.0), ('seru', 'seru', 100.0)]}"
developer aneh belah balancing hero dll belum tidak balance nih ml tapi balance tidak damage komander hero lawan sakit hero chessbort ciri khas ngebuat tidak balancekompetitif developer mentingin cuan sistem report lawan formalitas moontod moontod nilai sungguh,"['balancekompetitif', 'balance', 'balancing', 'lawan', 'hero', 'chessbort', 'developer', 'ciri', 'komander', 'nilai']","{'effectiveness': 1.66, 'satisfaction': 4.3}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('balancekompetitif', 'imbalan', 83.33333333333334), ('balance', 'imbalan', 83.33333333333334), ('balancing', 'imbalan', 83.33333333333334), ('lawan', 'kelelahan', 80.0), ('nilai', 'nilai', 100.0)]}"
semenjak updet tidak jls kalah hero tapi kalah hero tidak garagk topap monton pilih hapus tidak ngotok monton parah,"['kalah', 'garagk', 'parah', 'tapi', 'hero', 'updet', 'semenjak', 'tidak', 'monton', 'hapus']","{'effectiveness': 1.75, 'satisfaction': 2.55}",satisfaction,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('tapi', 'mantap', 85.71428571428572), ('monton', 'monoton', 83.33333333333334), ('hapus', 'puas', 85.71428571428572)]}"
mohon baik komander eva montonnnn,"['komander', 'montonnnn', 'eva', 'mohon', 'baik']","{'effectiveness': 0, 'satisfaction': 2.72}",satisfaction,"{'effectiveness': [], 'satisfaction': [('montonnnn', 'monoton', 92.3076923076923), ('mohon', 'bohong', 80.0), ('baik', 'baik', 100.0)]}"
anehmasa tidak download data,"['download', 'data', 'anehmasa', 'tidak']","{'effectiveness': 0, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('anehmasa', 'cemas', 80.0)]}"
sedia fitur skip tutorial,"['tutorial', 'skip', 'fitur', 'sedia']","{'effectiveness': 0, 'satisfaction': 0.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('sedia', 'sedih', 88.88888888888889)]}"
bagus tapi tambah mode practice mlbb,"['practice', 'mlbb', 'mode', 'bagus', 'tambah', 'tapi']","{'effectiveness': 0, 'satisfaction': 2.77}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('tambah', 'menambah', 90.9090909090909), ('tapi', 'mantap', 85.71428571428572)]}"
mantap katai apknya jelek tidak lolo,"['jelek', 'tidak', 'apknya', 'mantap', 'lolo', 'katai']","{'effectiveness': 0, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('jelek', 'jelek', 100.0), ('mantap', 'mantap', 100.0), ('katai', 'kuat', 85.71428571428572)]}"
bintang satunyatapi coba,"['satunyatapi', 'bintang', 'coba']","{'effectiveness': 0, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bintang', 'tenang', 80.0)]}"
pakai sinergi emberlord aktif moscov bintang kalah hanabi bintang,"['moscov', 'bintang', 'emberlord', 'sinergi', 'kalah', 'hanabi', 'pakai', 'aktif']","{'effectiveness': 0.89, 'satisfaction': 1.6}",satisfaction,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889)], 'satisfaction': [('bintang', 'tenang', 80.0), ('aktif', 'praktis', 80.0)]}"
anehhh bagus pisah akun,"['bagus', 'akun', 'anehhh', 'pisah']","{'effectiveness': 0.86, 'satisfaction': 1.89}",satisfaction,"{'effectiveness': [('akun', 'akurasi', 85.71428571428572)], 'satisfaction': [('bagus', 'bagus', 100.0), ('pisah', 'gelisah', 88.88888888888889)]}"
aplikasi shopee panas ponsel aplikasi mlbb tidak panas ponsel,"['ponsel', 'aplikasi', 'shopee', 'mlbb', 'panas', 'tidak']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
mode survipal adakan,"['mode', 'survipal', 'adakan']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
joss upabdet,"['joss', 'upabdet']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
cocok libur,"['cocok', 'libur']","{'effectiveness': 0, 'satisfaction': 0.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('libur', 'menghibur', 88.88888888888889)]}"
main disetting sistem judi player nangka ditentukaan nama orang jago main,"['judi', 'player', 'nangka', 'nama', 'orang', 'sistem', 'main', 'jago', 'ditentukaan', 'disetting']","{'effectiveness': 0, 'satisfaction': 4.46}",satisfaction,"{'effectiveness': [], 'satisfaction': [('nangka', 'menyenangkan', 100.0), ('nama', 'aman', 85.71428571428572), ('orang', 'curang', 88.88888888888889), ('main', 'manfaat', 85.71428571428572), ('ditentukaan', 'aman', 85.71428571428572)]}"
bismillah against,['bismillah'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
banyak iklan,"['iklan', 'banyak']","{'effectiveness': 0.89, 'satisfaction': 0.89}",effectiveness,"{'effectiveness': [('iklan', 'menyelesaikan', 88.88888888888889)], 'satisfaction': [('iklan', 'tampilan', 88.88888888888889)]}"
jelek bagus mlbb,"['bagus', 'jelek', 'mlbb']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('jelek', 'jelek', 100.0)]}"
tidak seruh tidak mode practice,"['mode', 'practice', 'tidak', 'seruh']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seruh', 'seru', 100.0)]}"
bug tidak nyaman menang tibatiba cek tidak riwayat main aneh,"['bug', 'cek', 'tibatiba', 'aneh', 'menang', 'main', 'nyaman', 'tidak', 'riwayat']","{'effectiveness': 1.0, 'satisfaction': 4.37}",satisfaction,"{'effectiveness': [('bug', 'bug', 100.0)], 'satisfaction': [('bug', 'buruk', 80.0), ('cek', 'cemas', 80.0), ('menang', 'tenang', 90.9090909090909), ('main', 'manfaat', 85.71428571428572), ('nyaman', 'aman', 100.0)]}"
sinergi efisien,"['sinergi', 'efisien']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
hapus lambat ml boba ganggu montoon tolong,"['ganggu', 'montoon', 'lambat', 'tolong', 'hapus', 'boba', 'ml']","{'effectiveness': 2.0, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [('lambat', 'lambat', 100.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('ganggu', 'ganggu', 100.0), ('montoon', 'monoton', 85.71428571428572), ('hapus', 'puas', 85.71428571428572)]}"
bin tang hero gakbisa,"['hero', 'tang', 'bin', 'gakbisa']","{'effectiveness': 1.71, 'satisfaction': 1.66}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('tang', 'ketepatan', 85.71428571428572)], 'satisfaction': [('tang', 'tenang', 85.71428571428572), ('bin', 'yakin', 80.0)]}"
malas jelas inti seru,"['inti', 'jelas', 'malas', 'seru']","{'effectiveness': 0, 'satisfaction': 3.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('jelas', 'jelas', 100.0), ('malas', 'malas', 100.0), ('seru', 'seru', 100.0)]}"
seru tapi tidak untung tidak seru,"['untung', 'tapi', 'tidak', 'seru']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('tapi', 'mantap', 85.71428571428572), ('seru', 'seru', 100.0)]}"
bagus koneksi kurang bagus mole,"['mole', 'koneksi', 'kurang', 'bagus']","{'effectiveness': 0, 'satisfaction': 1.91}",satisfaction,"{'effectiveness': [], 'satisfaction': [('kurang', 'curang', 90.9090909090909), ('bagus', 'bagus', 100.0)]}"
tidak dukung player ponsel kentang data download manajemen konten tidak mutu download skin hero skin chessboard dll default size skin tidak didownload tidak pengaruh gameplay kecewa size,"['skin', 'download', 'didownload', 'gameplay', 'player', 'chessboard', 'ponsel', 'size', 'data', 'konten']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('skin', 'yakin', 85.71428571428572)]}"
halah ml,"['halah', 'ml']","{'effectiveness': 0.89, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('halah', 'masalah', 88.88888888888889)], 'satisfaction': []}"
sistem banned tidak ml sistem grinding hero bintang susah gold buka peti baik sistem bintang,"['bintang', 'gold', 'sistem', 'banned', 'peti', 'buka', 'grinding', 'ml', 'hero', 'susah']","{'effectiveness': 1.66, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [('buka', 'bug', 80.0), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('bintang', 'tenang', 80.0), ('buka', 'suka', 85.71428571428572), ('susah', 'susah', 100.0)]}"
tolong baik juara match kelar lose posisi tidak masuk akal susah hero matching sinergi,"['match', 'juara', 'lose', 'kelar', 'matching', 'hero', 'sinergi', 'susah', 'akal', 'posisi']","{'effectiveness': 1.66, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('kelar', 'keliru', 80.0), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('susah', 'susah', 100.0)]}"
tidak cocok have fun ges,"['fun', 'tidak', 'ges', 'cocok']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('fun', 'fungsi', 100.0), ('ges', 'gelisah', 80.0)]}"
sistem roll hero sampah level lawak sistem tolol,"['sampah', 'tolol', 'roll', 'sistem', 'lawak', 'hero', 'level']","{'effectiveness': 2.46, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('tolol', 'pertolongan', 80.0), ('lawak', 'lag', 80.0), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('sampah', 'samar', 80.0)]}"
tolong roling baik hadeh,"['roling', 'tolong', 'baik', 'hadeh']","{'effectiveness': 1.0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('tolong', 'pertolongan', 100.0)], 'satisfaction': [('baik', 'baik', 100.0)]}"
koneksi bagus main selesai koneksi freeze history tanding tidak rank tidak kelas ganti tiket arivval,"['tiket', 'koneksi', 'freeze', 'main', 'arivval', 'ganti', 'rank', 'selesai', 'tanding', 'history']","{'effectiveness': 1.86, 'satisfaction': 2.51}",satisfaction,"{'effectiveness': [('rank', 'kebenaran', 85.71428571428572), ('selesai', 'selesai', 100.0)], 'satisfaction': [('main', 'manfaat', 85.71428571428572), ('ganti', 'santai', 80.0), ('rank', 'rancu', 85.71428571428572)]}"
seru tetapi bingung akses,"['akses', 'bingung', 'tetapi', 'seru']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bingung', 'bising', 80.0), ('seru', 'seru', 100.0)]}"
tolong optimal tablet ukur inc atas biar hd,"['tablet', 'hd', 'optimal', 'tolong', 'atas', 'biar', 'ukur']","{'effectiveness': 1.8, 'satisfaction': 1.71}",effectiveness,"{'effectiveness': [('tablet', 'stabil', 80.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('optimal', 'malu', 85.71428571428572), ('atas', 'berkualitas', 85.71428571428572)]}"
suka sinergi baru,"['sinergi', 'baru', 'suka']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('suka', 'suka', 100.0)]}"
dah loss,"['loss', 'dah']","{'effectiveness': 0.8, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('dah', 'masalah', 80.0)], 'satisfaction': [('dah', 'mudah', 100.0)]}"
tidak kadang kasih menang kadang kasih kalah sinergi dimaenin sesal download burik,"['kasih', 'kadang', 'sinergi', 'download', 'kalah', 'menang', 'tidak', 'burik', 'sesal', 'dimaenin']","{'effectiveness': 2.49, 'satisfaction': 4.2}",satisfaction,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889), ('burik', 'bug', 80.0), ('sesal', 'kesalahan', 80.0)], 'satisfaction': [('kasih', 'ekspektasi', 80.0), ('kadang', 'sedang', 80.0), ('menang', 'tenang', 90.9090909090909), ('burik', 'buruk', 80.0), ('sesal', 'kesal', 88.88888888888889)]}"
jelek sumpah gilir susah hero orang babak bintang hero aktif sinergi tidak lag mending balikin ml chese,"['hero', 'gilir', 'babak', 'jelek', 'chese', 'orang', 'bintang', 'sumpah', 'balikin', 'susah']","{'effectiveness': 0.86, 'satisfaction': 4.55}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': [('babak', 'baik', 85.71428571428572), ('jelek', 'jelek', 100.0), ('orang', 'curang', 88.88888888888889), ('bintang', 'tenang', 80.0), ('susah', 'susah', 100.0)]}"
update baru susah legend jangan jhonson batas toko tapi comander skil aktif serang hero lawan wanwan dll batas,"['hero', 'legend', 'lawan', 'serang', 'baru', 'wanwan', 'toko', 'jhonson', 'batas', 'update']","{'effectiveness': 3.29, 'satisfaction': 4.17}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('legend', 'pengendalian', 83.33333333333334), ('lawan', 'kesalahan', 80.0), ('batas', 'hambatan', 80.0)], 'satisfaction': [('legend', 'lega', 85.71428571428572), ('lawan', 'kelelahan', 80.0), ('serang', 'terang', 90.9090909090909), ('wanwan', 'kekecewaan', 80.0), ('batas', 'adaptasi', 80.0)]}"
tempek rate hero kagak,"['hero', 'tempek', 'kagak', 'rate']","{'effectiveness': 0.86, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': []}"
adakan fitur log out all device,"['device', 'log', 'fitur', 'adakan']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
catur sempurna muncul playstore,"['catur', 'playstore', 'sempurna', 'muncul']","{'effectiveness': 0, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('playstore', 'stres', 80.0)]}"
kecewa gameplay bagus cuman hero hero ubah skill beda ubah tampil skillnya rating bintang tidak seru hero diubahubah,"['hero', 'gameplay', 'skillnya', 'skill', 'rating', 'diubahubah', 'ubah', 'bintang', 'tampil', 'beda']","{'effectiveness': 2.51, 'satisfaction': 3.46}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('tampil', 'detail', 80.0), ('beda', 'jeda', 85.71428571428572)], 'satisfaction': [('rating', 'curang', 80.0), ('ubah', 'menambah', 85.71428571428572), ('bintang', 'tenang', 80.0), ('tampil', 'tampilan', 100.0)]}"
tolong perhati commander commander tidak kepake kalah skil sayang top up skinnya tapi tidak kepake kalah skil commander tolong henti masuk commander skinnya lanjut persen player pindah belah,"['commander', 'perhati', 'kepake', 'henti', 'skil', 'persen', 'belah', 'lanjut', 'player', 'masuk']","{'effectiveness': 2.46, 'satisfaction': 4.06}",satisfaction,"{'effectiveness': [('skil', 'hasil', 85.71428571428572), ('lanjut', 'lag', 80.0), ('masuk', 'maksud', 80.0)], 'satisfaction': [('perhati', 'sehat', 80.0), ('kepake', 'kekecewaan', 80.0), ('persen', 'keren', 80.0), ('belah', 'kelelahan', 80.0), ('masuk', 'suka', 85.71428571428572)]}"
bosan combo tapi pakai mmwp seru combo op gamplay tidak tarik,"['gamplay', 'combo', 'bosan', 'pakai', 'mmwp', 'tarik', 'op', 'tapi', 'tidak', 'seru']","{'effectiveness': 1.0, 'satisfaction': 4.69}",satisfaction,"{'effectiveness': [('op', 'opsi', 100.0)], 'satisfaction': [('gamplay', 'gampang', 83.33333333333334), ('bosan', 'bosan', 100.0), ('tarik', 'tertarik', 100.0), ('tapi', 'mantap', 85.71428571428572), ('seru', 'seru', 100.0)]}"
hapus herokarakter wawan resah,"['herokarakter', 'wawan', 'resah', 'hapus']","{'effectiveness': 0.8, 'satisfaction': 2.75}",satisfaction,"{'effectiveness': [('wawan', 'pengawasan', 80.0)], 'satisfaction': [('wawan', 'kekecewaan', 88.88888888888889), ('resah', 'resah', 100.0), ('hapus', 'puas', 85.71428571428572)]}"
jual pisah untung,"['jual', 'untung', 'pisah']","{'effectiveness': 0, 'satisfaction': 0.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('pisah', 'gelisah', 88.88888888888889)]}"
adminnya atur menang kalahsejenis judolterasa mainbukan ahli atur set rupahero bintang hero bintang full item bintang kalah logika harga gold beda pintang harga hero gold bintang golddr harga beda masak kalah kekuatannyaaneh bgttolong benah,"['mainbukan', 'rupahero', 'menang', 'golddr', 'pintang', 'gold', 'kalahsejenis', 'ahli', 'kekuatannyaaneh', 'kalah']","{'effectiveness': 2.6, 'satisfaction': 3.51}",satisfaction,"{'effectiveness': [('rupahero', 'eror', 85.71428571428572), ('ahli', 'kendali', 85.71428571428572), ('kalah', 'masalah', 88.88888888888889)], 'satisfaction': [('menang', 'tenang', 90.9090909090909), ('pintang', 'tenang', 80.0), ('kalahsejenis', 'malas', 80.0), ('kekuatannyaaneh', 'kuat', 100.0)]}"
suka versi versi barusaya suka cess cess,"['suka', 'barusaya', 'versi', 'cess']","{'effectiveness': 0.8, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [('barusaya', 'rusak', 80.0)], 'satisfaction': [('suka', 'suka', 100.0), ('barusaya', 'bagus', 80.0)]}"
tolong bantu kait akun dibenerkan kait akun loading pasport mpascs tidak masuk masuk,"['pasport', 'akun', 'mpascs', 'loading', 'masuk', 'kait', 'bantu', 'dibenerkan', 'tolong', 'tidak']","{'effectiveness': 3.66, 'satisfaction': 2.6}",effectiveness,"{'effectiveness': [('akun', 'akurasi', 85.71428571428572), ('masuk', 'maksud', 80.0), ('bantu', 'bantuan', 100.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('pasport', 'puas', 85.71428571428572), ('masuk', 'suka', 85.71428571428572), ('bantu', 'antusias', 88.88888888888889)]}"
busuk koin cari hero sesuai habis kga,"['hero', 'busuk', 'cari', 'habis', 'sesuai', 'koin', 'kga']","{'effectiveness': 4.17, 'satisfaction': 2.51}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('busuk', 'bug', 80.0), ('cari', 'lancar', 85.71428571428572), ('sesuai', 'selesai', 80.0), ('koin', 'konstan', 85.71428571428572)], 'satisfaction': [('busuk', 'suka', 85.71428571428572), ('koin', 'yakin', 85.71428571428572), ('kga', 'ganggu', 80.0)]}"
josss jisss,"['jisss', 'josss']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
serius nagih penasaran catur uras otak mantap rating jelek kurang pikir tindak catur moderen kalah rengek,"['catur', 'pikir', 'penasaran', 'kalah', 'otak', 'tindak', 'rating', 'mantap', 'kurang', 'serius']","{'effectiveness': 1.69, 'satisfaction': 4.46}",satisfaction,"{'effectiveness': [('penasaran', 'kebenaran', 80.0), ('kalah', 'masalah', 88.88888888888889)], 'satisfaction': [('penasaran', 'penat', 88.88888888888889), ('rating', 'curang', 80.0), ('mantap', 'mantap', 100.0), ('kurang', 'curang', 90.9090909090909), ('serius', 'seru', 85.71428571428572)]}"
asah otak poko mantap,"['otak', 'mantap', 'asah', 'poko']","{'effectiveness': 0.86, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('asah', 'crash', 85.71428571428572)], 'satisfaction': [('mantap', 'mantap', 100.0), ('asah', 'gelisah', 85.71428571428572)]}"
anjing rusak koonton mah bukan lag su,"['anjing', 'rusak', 'bukan', 'su', 'mah', 'koonton', 'lag']","{'effectiveness': 4.6, 'satisfaction': 4.43}",effectiveness,"{'effectiveness': [('rusak', 'rusak', 100.0), ('bukan', 'bug', 80.0), ('su', 'maksud', 100.0), ('mah', 'maksud', 80.0), ('lag', 'lag', 100.0)], 'satisfaction': [('rusak', 'frustasi', 80.0), ('bukan', 'menurunkan', 80.0), ('su', 'lesu', 100.0), ('mah', 'lemah', 100.0), ('koonton', 'monoton', 83.33333333333334)]}"
sistem kocak,"['sistem', 'kocak']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
